Time,Time Code,Country Name,Country Code,"Population ages 0-14, total [SP.POP.0014.TO]","Population ages 15-64, total [SP.POP.1564.TO]","Population ages 65 and above, total [SP.POP.65UP.TO]","Population, total [SP.POP.TOTL]",Population growth (annual %) [SP.POP.GROW],Population density (people per sq. km of land area) [EN.POP.DNST],Rural population [SP.RUR.TOTL],Urban population (% of total) [SP.URB.TOTL.IN.ZS]
2002,YR2002,Germany,DEU,12569578,55580926,14337991,82488495,0.168128319406931,236.451570830706,20313617,75.374
2002,YR2002,France,FRA,11501916,40257415,10045936,61805267,0.727231515093808,112.872519709917,14598404,76.38
2002,YR2002,Spain,ESP,5969081,28519949,6942528,41431558,1.41259540475782,83.0225192369349,9722744,76.533
2002,YR2002,Switzerland,CHE,1240964,4915439,1128350,7284753,0.756469145838096,184.321466524973,1937671,73.401
2002,YR2002,Sweden,SWE,1598495,5785787,1540676,8924958,0.325438067703728,21.750153531218,1416123,84.133
2002,YR2002,Italy,ITA,8090587,38271453,10696967,57059007,0.148916429490753,194.005667947367,18611507,67.382
2002,YR2002,United Kingdom,GBR,11060029,38833981,9476469,59370479,0.423337079636281,245.40354234696,12439896,79.047
2002,YR2002,Denmark,DNK,1002730,3571923,801279,5375931,0.319487125340996,126.701178411501,792950,85.25
2002,YR2002,Belgium,BEL,1792686,6770990,1769109,10332785,0.448268894821562,341.241248348745,285082,97.241
2002,YR2002,China,CHN,292967665,894813926,92618409,1280400000,0.669999567758626,136.383779609948,788406300,38.425
2002,YR2002,Japan,JPN,18308488,86157117,22979395,127445000,0.232527187105684,349.643347050754,23389981,81.647
2002,YR2002,India,IND,370455776,669605816,49745520,1089807112,1.69618506845585,366.544725362321,782001991,28.244
2002,YR2002,Indonesia,IDN,65929944,141124228,10453887,217508059,1.38958524528873,120.066052650463,122744148,43.568
2002,YR2002,Singapore,SGP,849991,3004217,321742,4175950,0.912639805776796,6186.59259259259,0,100
